2380314.0,151643.0,821882.0,2144897.0,30507261.0,17616969.0,504767.0,46198742.0
1113335.0,61744.0,259454.0,1131501.0,14174184.0,7243235.0,277571.0,26829082.0
2269115.0,200731.0,301580.0,765008.0,14282685.0,11893740.0,526186.0,48501697.0
10301536.0,201739.0,796791.0,1938661.0,41390913.0,41716039.0,632980.0,62678022.0
524112.0,47652.0,130620.0,908941.0,12940162.0,3096497.0,77049.0,7102903.0
469981.0,47829.0,160006.0,722413.0,8032742.0,1923612.0,92824.0,9312153.0
913964.0,69105.0,207311.0,631724.0,9779374.0,5162074.0,178785.0,16989641.0
1379813.0,123031.0,360685.0,788771.0,10821414.0,3482996.0,85706.0,9869849.0
1263823.0,102388.0,232156.0,828721.0,20116827.0,11232105.0,182625.0,14887763.0
1348874.0,139228.0,332272.0,827451.0,9183922.0,3010274.0,90567.0,9517229.0
2926649.0,104085.0,756557.0,3361549.0,70343985.0,28322952.0,377139.0,32932515.0
1749850.0,106533.0,661753.0,2782445.0,38279250.0,16072322.0,133005.0,13126511.0
2351662.0,133767.0,552607.0,1956628.0,23897954.0,14066256.0,454386.0,41493318.0
3092586.0,124117.0,427593.0,1813383.0,30663736.0,20835315.0,664310.0,57648422.0
3195255.0,159951.0,609011.0,1724879.0,16463013.0,10656859.0,491616.0,49956425.0
1445717.0,81911.0,302344.0,797903.0,7675462.0,3985531.0,274632.0,28287390.0
1214584.0,73528.0,249765.0,1063736.0,19094656.0,11081595.0,388053.0,32065375.0
2087556.0,92996.0,360328.0,1321762.0,17380539.0,9899669.0,363192.0,35611974.0
664560.0,60764.0,219718.0,1026386.0,14903401.0,8245006.0,318631.0,27051425.0
602864.0,59104.0,181076.0,1006778.0,7782288.0,2410143.0,203782.0,21330434.0
274281.0,29241.0,81007.0,535916.0,7122442.0,1775276.0,167694.0,14665615.0
262562.0,27137.0,86166.0,448402.0,5757571.0,1411953.0,152290.0,13632470.0
3276527.0,56301.0,138616.0,726156.0,20349854.0,17414671.0,510137.0,46080527.0
229090.0,30313.0,67112.0,514280.0,5473070.0,1493895.0,140996.0,12861579.0
241941.0,24891.0,79811.0,404481.0,4893393.0,1363520.0,102557.0,9669266.0
333483.0,31534.0,108466.0,455804.0,6054598.0,1593020.0,181778.0,16445559.0
418988.0,32209.0,124030.0,618381.0,8337055.0,2363665.0,234007.0,20095563.0
576833.0,52557.0,135637.0,680826.0,7364465.0,2063660.0,203949.0,20085989.0
517945.0,44376.0,131110.0,714252.0,10406547.0,2920282.0,233658.0,20931600.0
589303.0,47870.0,147520.0,602591.0,7367557.0,2585191.0,250093.0,21677210.0
430845.0,42883.0,129082.0,778070.0,9385155.0,2676010.0,212003.0,19348125.0
617218.0,54570.0,141921.0,724858.0,7860700.0,2573526.0,240739.0,21801779.0
437280.0,47046.0,152833.0,822729.0,9436131.0,2845777.0,206967.0,19115458.0
539051.0,47752.0,162056.0,645296.0,17218123.0,4092906.0,137203.0,11719830.0
1317387.0,91336.0,386332.0,1495773.0,32002637.0,10975115.0,224983.0,20365812.0
623696.0,64634.0,131411.0,1068161.0,12419220.0,3723723.0,351187.0,30364082.0
655332.0,58682.0,158775.0,995126.0,9417761.0,3100747.0,276432.0,25782236.0
595523.0,56127.0,129047.0,1012601.0,12697348.0,3610076.0,337210.0,31131022.0
916653.0,82428.0,217228.0,1356881.0,11566280.0,3683554.0,331802.0,32995120.0
632029.0,59271.0,115902.0,1080004.0,13732815.0,3885452.0,328801.0,27653186.0
460814.0,53182.0,116817.0,954035.0,9808934.0,2642462.0,198425.0,19294370.0
562269.0,62329.0,119668.0,969026.0,12865730.0,3725026.0,320935.0,26967046.0
734256.0,70796.0,176090.0,1055872.0,11551901.0,4133647.0,334740.0,30233847.0
712813.0,70614.0,159126.0,1060343.0,14396310.0,4368622.0,363712.0,31426461.0
674561.0,66289.0,139206.0,1053969.0,10982227.0,3446371.0,237002.0,22011785.0
8334804.0,291726.0,1009325.0,2054841.0,43760578.0,42301709.0,932328.0,88171500.0
3009536.0,135022.0,540168.0,1945860.0,16473037.0,9657155.0,418375.0,40592977.0
1652217.0,91047.0,353781.0,1030348.0,7199600.0,3096240.0,292650.0,32294094.0
297528.0,33814.0,123350.0,632622.0,6641342.0,2044646.0,170997.0,16425975.0
332062.0,37274.0,107999.0,655777.0,8042368.0,1811891.0,196928.0,17360596.0
403153.0,48317.0,155400.0,724916.0,6310908.0,1744910.0,193776.0,19110634.0
478293.0,46852.0,176613.0,697897.0,6591192.0,1754579.0,220378.0,20606953.0
423268.0,54801.0,155582.0,738621.0,6891593.0,1871851.0,201723.0,19107912.0
349847.0,45545.0,134600.0,707917.0,7125498.0,2033060.0,195955.0,17460503.0
359061.0,49841.0,191891.0,680172.0,7671630.0,1914921.0,167092.0,15669680.0
705283.0,58965.0,226866.0,919027.0,10307730.0,2897243.0,121452.0,11729673.0
5130894.0,154413.0,361001.0,1739492.0,32449586.0,20860474.0,141376.0,14851378.0
450507.0,54044.0,147834.0,709483.0,7700817.0,1766183.0,179788.0,16171288.0
1083398.0,85566.0,329124.0,1239662.0,12288385.0,4328633.0,273801.0,27189648.0
499843.0,47872.0,148375.0,765295.0,8307533.0,2172984.0,221883.0,20151366.0
